Template,Building Type,Space Type,RGB,Lighting Standard,Lighting Primary Space Type,Lighting Secondary Space Type,LookupColumn,Lighting per Area (W/ft^2),Lighting per Person (W/person),Lighting per Length (W/ft),Additional Lighting per Area (W/ft^2),Lighting Fraction to Return Air,Lighting Fraction Radiant,Lighting Fraction Visible,Lighting Schedule,Ventilation Standard,Ventilation Primary Space Type,Ventilation Secondary Space Type,Lookup,Ventilation per Area (ft^3/min*ft^2),Ventilation per Person (ft^3/min*person),Ventilation Air Changes (ach),Minimum Total Air Changes (ach),Occupancy per Area (people/1000 ft^2),Occupancy Schedule,Occupancy Activity Schedule,Infiltration per Exterior Area (ft^3/min*ft^2 ext),Infiltration per Exterior Wall Area (ft^3/min*ft^2 ext),Infiltration Air Changes (ach),Infiltration Schedule,Gas Equipment per Area (Btu/hr*ft^2),Gas Equipment Fraction Latent,Gas Equipment Fraction Radiant,Gas Equipment Fraction Lost,Gas Equipment Schedule,Electric Equipment per Area (W/ft^2),Electric Equipment Fraction Latent,Electric Equipment Fraction Radiant,Electric Equipment Fraction Lost,Electric Equipment Schedule,Heating Setpoint Schedule,Cooling Setpoint Schedule,Service Water Heating Peak Flow Rate (gal/h),Service Water Heating Area (ft^2),Service Water Heating Peak Flow per Area (gal/h*ft^2),Service Water Heating Target Temperature (C),Service Water Heating Fraction Sensible,Service Water Heating Fraction Latent,Service Water Heating Schedule,Exhaust per Area (cfm/ft2),Exhaust per Unit (cfm),Exhaust Fan Power per Area (W/ft^2),Exhaust Fan Efficiency,Exhaust Fan Power (W),Exhaust Fan Pressure Rise (Pa),Exhaust Fan Maximum Flow Rate (cfm),Exhaust Schedule,Balanced Exhaust Fraction Schedule,Is Residential,NECB HVAC System Selection Type,NECB Schedule Type
189.1-2009,Hospital,ICU_PatRm,78_167_222,ASHRAE 189.1-2009,Hospital,Patient Room,ASHRAE 189.1-2009HospitalPatient Room,0.63,,,,0,0.7,0.2,Hospital Bldg Light,AIA 2001,Surgery and Critical Care,Critical and Intensive Care,AIA 2001Surgery and Critical CareCritical and Intensive Care,,,2,,5,Hospital Critical Occ,Hospital Activity,0.0446,,,Hospital Infil Quarter On,,,,,,2.19,0,0.5,0,Hospital Bldg Equip,Hospital Critical HtgSetp,Hospital Critical HtgSetp,,,,,,,,,,,,,,,,,,,
189.1-2009,Hospital,Kitchen,78_222_133,ASHRAE 189.1-2009,Food Preparation,General,ASHRAE 189.1-2009Food PreparationGeneral,1.08,,,,0,0.7,0.2,Hospital Bldg Light,ASHRAE 62.1-1999,Food and Beverage Service,Kitchens (cooking),ASHRAE 62.1-1999Food and Beverage ServiceKitchens (cooking),0.47,0,,,5,Hospital Bldg Occ,Hospital Activity,0.0446,,,Hospital Infil Quarter On,70.46,0.1,0.2,0.7,Hospital Kitchen Gas,5.47,0.2,0.5,0.1,Hospital Bldg Equip,Hospital Bldg HtgSetp,Hospital Bldg ClgSetp,150,10000,0.015,49,0.2,0.05,Hospital SWH Extd,0.7,5300,0.1221241016,0.338,924.6539123,0.5024115756,,Hospital Kitchen Exhaust,,,,
189.1-2009,Hospital,Lab,204_120_230,ASHRAE 189.1-2009,Laboratory,General,ASHRAE 189.1-2009LaboratoryGeneral,1.26,,,,0,0.7,0.2,Hospital Bldg Light,ASHRAE 62.1-1999,Education,Laboratories,ASHRAE 62.1-1999EducationLaboratories,0,20,,,5,Hospital Bldg Occ,Hospital Activity,0.0446,,,Hospital Infil Quarter On,,,,,,3.22,0,0.5,0,Hospital Bldg Equip,Hospital Bldg HtgSetp,Hospital Bldg ClgSetp,2,2850,0.000701754386,49,0.2,0.05,Hospital SWH,,,,,,,,,,,,
189.1-2009,Hospital,Lobby,31_162_169,ASHRAE 189.1-2009,Lobby,General,ASHRAE 189.1-2009LobbyGeneral,1.17,,,,0,0.7,0.2,Hospital Bldg Light,ASHRAE 62.1-1999,"Hotels, Motels, Resorts, Dormitories",Lobbies,"ASHRAE 62.1-1999Hotels, Motels, Resorts, DormitoriesLobbies",0,15,,,7.14,Hospital Bldg Occ,Hospital Activity,0.0446,,,Hospital Infil Quarter On,,,,,,0.07,0,0.5,0,Hospital Bldg Equip,Hospital Bldg HtgSetp,Hospital Bldg ClgSetp,,,,,,,,,,,,,,,,,,,
189.1-2009,Hospital,NurseStn,31_162_169,ASHRAE 189.1-2009,Hospital,Nurse Station,ASHRAE 189.1-2009HospitalNurse Station,0.9,,,,0,0.7,0.2,Hospital Bldg Light,ASHRAE 62.1-1999,Offices,Reception Areas,ASHRAE 62.1-1999OfficesReception Areas,0,15,,,7.14,Hospital Bldg Occ,Hospital Activity,0.0446,,,Hospital Infil Quarter On,,,,,,0.76,0,0.5,0,Hospital Bldg Equip,Hospital Bldg HtgSetp,Hospital Bldg ClgSetp,,,,,,,,,,,,,,,,,,,
189.1-2009,Hospital,Office,120_230_199,ASHRAE 189.1-2009,Office-Enclosed,General,ASHRAE 189.1-2009Office-EnclosedGeneral,0.99,,,,0,0.7,0.2,Hospital Bldg Light,ASHRAE 62.1-1999,Offices,Office Space,ASHRAE 62.1-1999OfficesOffice Space,0,20,,,6.99,Hospital Bldg Occ,Hospital Activity,0.0446,,,Hospital Infil Quarter On,,,,,,0.73,0,0.5,0,Hospital Bldg Equip,Hospital Bldg HtgSetp,Hospital Bldg ClgSetp,,,,,,,,,,,,,,,,,,,
189.1-2009,Hospital,OR,169_31_159,ASHRAE 189.1-2009,Hospital,Operating Room,ASHRAE 189.1-2009HospitalOperating Room,1.98,,,,0,0.7,0.2,Hospital Bldg Light,AIA 2001,Surgery and Critical Care,Operating/Surgical Cystoscopic Rooms,AIA 2001Surgery and Critical CareOperating/Surgical Cystoscopic Rooms,,,3,,5,Hospital Critical Occ,Hospital Activity,0.0446,,,Hospital Infil Quarter On,,,,,,2.92,0,0.5,0,Hospital Bldg Equip,Hospital Critical HtgSetp,Hospital Critical ClgSetp,2,600,0.003333333333,49,0.2,0.05,Hospital SWH,,,,,,,,,,,,
189.1-2009,Hospital,PatCorridor,169_31_31,ASHRAE 189.1-2009,Corridor/Transition,For Hospital,ASHRAE 189.1-2009Corridor/TransitionFor Hospital,0.9,,,,0,0.7,0.2,Hospital Bldg Light,ASHRAE 62.1-1999,Public Spaces,Corridors and utilities,ASHRAE 62.1-1999Public SpacesCorridors and utilities,0.05,0,,,1,Hospital Critical Occ,Hospital Activity,0.0446,,,Hospital Infil Quarter On,,,,,,0,0,0.5,0,Hospital Bldg Equip,Hospital Critical HtgSetp,Hospital Critical ClgSetp,,,,,,,,,,,,,,,,,,,
189.1-2009,Hospital,PatRoom,78_167_222,ASHRAE 189.1-2009,Hospital,Patient Room,ASHRAE 189.1-2009HospitalPatient Room,0.63,,,,0,0.7,0.2,Hospital Bldg Light,AIA 2001,Nursing,Patient Room,AIA 2001NursingPatient Room,,,2,,5,Hospital Critical Occ,Hospital Activity,0.0446,,,Hospital Infil Quarter On,,,,,,1.46,0,0.5,0,Hospital Bldg Equip,Hospital Critical HtgSetp,Hospital Critical ClgSetp,1,280,0.003571428571,49,0.2,0.05,Hospital SWH Extd,,,,,,,,,,Yes,,
189.1-2009,Hospital,PhysTherapy,154_230_120,ASHRAE 189.1-2009,Hospital,Physical Therapy,ASHRAE 189.1-2009HospitalPhysical Therapy,0.81,,,,0,0.7,0.2,Hospital Bldg Light,ASHRAE 62.1-1999,"Hospitals, Nursing and Convalescent Homes",Physical therapy,"ASHRAE 62.1-1999Hospitals, Nursing and Convalescent HomesPhysical therapy",0.47,0,,,5,Hospital Bldg Occ,Hospital Activity,0.0446,,,Hospital Infil Quarter On,,,,,,1.09,0,0.5,0,Hospital Bldg Equip,Hospital Bldg HtgSetp,Hospital Bldg ClgSetp,1,5280,0.0001893939394,49,0.2,0.05,Hospital SWH,,,,,,,,,,,,
189.1-2009,Hospital,Radiology,136_78_222,ASHRAE 189.1-2009,Hospital,Radiology,ASHRAE 189.1-2009HospitalRadiology,0.36,,,,0,0.7,0.2,Hospital Bldg Light,ASHRAE 62.1-1999,"Hospitals, Nursing and Convalescent Homes",Medical procedure,"ASHRAE 62.1-1999Hospitals, Nursing and Convalescent HomesMedical procedure",0.47,,,,5,Hospital Bldg Occ,Hospital Activity,0.0446,,,Hospital Infil Quarter On,,,,,,7.28,0,0.5,0,Hospital Bldg Equip,Hospital Bldg HtgSetp,Hospital Bldg ClgSetp,1,5250,0.0001904761905,49,0.2,0.05,Hospital SWH Extd,,,,,,,,,,,,
189.1-2009,LargeHotel,Banquet,230_196_120,ASHRAE 189.1-2009,Conference/Meeting/Multipurpose,General,ASHRAE 189.1-2009Conference/Meeting/MultipurposeGeneral,1.17,,,,0,0.7,0.2,LargeHotel Bldg Light,ASHRAE 62.1-1999,"Hotels, Motels, Resorts, Dormitories",Conference rooms,"ASHRAE 62.1-1999Hotels, Motels, Resorts, DormitoriesConference rooms",0,20,,,67,LargeHotel Bldg Occ,LargeHotel Activity,0.0446,,,LargeHotel Infil Quarter On,,,,,,3,0,0.5,0,LargeHotel Bldg Equip,LargeHotel HtgSetp,LargeHotel ClgSetp,,,,,,,,,,,,,,,,,,,
189.1-2009,LargeHotel,Cafe,31_169_34,ASHRAE 189.1-2009,Dining Area,For Hotel,ASHRAE 189.1-2009Dining AreaFor Hotel,1.17,,,,0,0.7,0.2,LargeHotel Bldg Light,ASHRAE 62.1-1999,Food and Beverage Service,"Cafeteria, fast food","ASHRAE 62.1-1999Food and Beverage ServiceCafeteria, fast food",0,20,,,67,LargeHotel Bldg Occ,LargeHotel Activity,0.0446,,,LargeHotel Infil Quarter On,,,,,,0.26,0,0.5,0,LargeHotel Bldg Equip,LargeHotel HtgSetp,LargeHotel ClgSetp,,,,,,,,,,,,,,,,,,,
189.1-2009,LargeHotel,Corridor,169_31_31,ASHRAE 189.1-2009,Corridor/Transition,General,ASHRAE 189.1-2009Corridor/TransitionGeneral,0.45,,,,0,0.7,0.2,LargeHotel Bldg Light,ASHRAE 62.1-1999,Public Spaces,Corridors and utilities,ASHRAE 62.1-1999Public SpacesCorridors and utilities,0.05,0,,,1,LargeHotel Bldg Occ,LargeHotel Activity,0.0446,,,LargeHotel Infil Quarter On,,,,,,0,0,0.5,0,LargeHotel Bldg Equip,LargeHotel Corridor HtgSetp,LargeHotel Corridor ClgSetp,,,,,,,,,,,,,,,,,,,
189.1-2009,LargeHotel,GuestRoom,78_167_222,ASHRAE 189.1-2009,Hotel/Motel,Guest Rooms,ASHRAE 189.1-2009Hotel/MotelGuest Rooms,0.99,,,,0,0.7,0.2,LargeHotel Bldg Light,ASHRAE 62.1-1999,"Hotels, Motels, Resorts, Dormitories",Dormitory sleeping areas,"ASHRAE 62.1-1999Hotels, Motels, Resorts, DormitoriesDormitory sleeping areas",0,15,,,3.57,LargeHotel GuestRoom Occ,LargeHotel Activity,0.0446,,,LargeHotel Infil Quarter On,,,,,,0.68,0,0.5,0,LargeHotel GuestRoom Equip,LargeHotel GuestRoom HtgSetp,LargeHotel GuestRoom ClgSetp,1.25,420,0.002976190476,43.3,0.2,0.05,LargeHotel SWH GuestRoom,,,,,,,,,,Yes,,
189.1-2009,LargeHotel,Kitchen,78_222_133,ASHRAE 189.1-2009,Food Preparation,General,ASHRAE 189.1-2009Food PreparationGeneral,1.08,,,,0,0.7,0.2,LargeHotel Bldg Light,ASHRAE 62.1-1999,Food and Beverage Service,Kitchens (cooking),ASHRAE 62.1-1999Food and Beverage ServiceKitchens (cooking),0.47,0,,,5,LargeHotel Bldg Occ,LargeHotel Activity,0.0446,,,LargeHotel Infil Quarter On,373.8,0.1,0.2,0.7,LargeHotel Kitchen Gas,24.16,0.2,0.5,0.1,LargeHotel Kitchen Equip,LargeHotel Kitchen HtgSetp,LargeHotel Kitchen ClgSetp,133,1112,0.1196043165,49,0.2,0.05,LargeHotel SWH Kitchen,0.7,4000,0.1221241016,0.338,697.8520093,0.5024115756,,LargeHotel Kitchen Exhaust,,,,
189.1-2009,LargeHotel,Laundry,120_149_230,ASHRAE 189.1-2009,Hospital,Laundry-Washing,ASHRAE 189.1-2009HospitalLaundry-Washing,0.54,,,,0,0.7,0.2,LargeHotel Bldg Light,ASHRAE 62.1-1999,"Dry Cleaners, Laundries",Commercial Laundry,"ASHRAE 62.1-1999Dry Cleaners, LaundriesCommercial Laundry",0,25,,,4,LargeHotel Bldg Occ,LargeHotel Activity,0.0446,,,LargeHotel Infil Quarter On,123.8,0,0.5,0,LargeHotel LaundryRoom Gas,2.93,0,0.5,0,LargeHotel LaundryRoom Equip,LargeHotel HtgSetp,LargeHotel ClgSetp,156.6,840,0.1864285714,60,0.2,0.05,LargeHotel SWH Laundry,0.5952276391,500,0.103845201,0.338,87.23150116,0.5024115756,,LargeHotel Laundry Exhaust_Always On,,,,
189.1-2009,LargeHotel,Lobby,230_157_120,ASHRAE 189.1-2009,Lobby,For Hotel,ASHRAE 189.1-2009LobbyFor Hotel,0.99,,,,0,0.7,0.2,LargeHotel Bldg Light,ASHRAE 62.1-1999,"Hotels, Motels, Resorts, Dormitories",Lobbies,"ASHRAE 62.1-1999Hotels, Motels, Resorts, DormitoriesLobbies",0,15,,,30,LargeHotel Bldg Occ,LargeHotel Activity,0.0446,,,LargeHotel Infil Quarter On,,,,,,0.38,0,0.5,0,LargeHotel Bldg Equip,LargeHotel HtgSetp,LargeHotel ClgSetp,,,,,,,,,,,,,,,,,,,
189.1-2009,LargeHotel,Mechanical,41_31_169,ASHRAE 189.1-2009,Electrical/Mechanical,General,ASHRAE 189.1-2009Electrical/MechanicalGeneral,1.35,,,,0,0.7,0.2,LargeHotel Bldg Light,ASHRAE 62.1-1999,Public Spaces,Corridors and utilities,ASHRAE 62.1-1999Public SpacesCorridors and utilities,0.05,0,,,0,LargeHotel Bldg Occ,LargeHotel Activity,0.0446,,,LargeHotel Infil Quarter On,,,,,,0.26,0,0.5,0,LargeHotel Bldg Equip,LargeHotel HtgSetp,LargeHotel ClgSetp,,,,,,,,,,,,,,,,,,,
189.1-2009,LargeHotel,Retail,171_222_78,ASHRAE 189.1-2009,Retail (not including accent lighting),Sales Area,ASHRAE 189.1-2009Retail (not including accent lighting)Sales Area,1.53,,,,0,0.7,0.2,LargeHotel Bldg Light,ASHRAE 62.1-1999,"Retail Stores, Sales Floors, and Show Room Floors",Basement and street,"ASHRAE 62.1-1999Retail Stores, Sales Floors, and Show Room FloorsBasement and street",0.3,0,,,15,LargeHotel Bldg Occ,LargeHotel Activity,0.0446,,,LargeHotel Infil Quarter On,,,,,,0.51,0,0.5,0,LargeHotel Bldg Equip,LargeHotel HtgSetp,LargeHotel ClgSetp,,,,,,,,,,,,,,,,,,,
189.1-2009,LargeHotel,Storage,120_149_230,ASHRAE 189.1-2009,Active Storage,General,ASHRAE 189.1-2009Active StorageGeneral,0.72,,,,0,0.7,0.2,LargeHotel Bldg Light,ASHRAE 62.1-1999,"Retail Stores, Sales Floors, and Show Room Floors",Shipping and receiving,"ASHRAE 62.1-1999Retail Stores, Sales Floors, and Show Room FloorsShipping and receiving",0.15,0,,,2,LargeHotel Bldg Occ,LargeHotel Activity,0.0446,,,LargeHotel Infil Quarter On,,,,,,0.13,0,0.5,0,LargeHotel Bldg Equip,LargeHotel HtgSetp,LargeHotel ClgSetp,,,,,,,,,,,,,,,,,,,
189.1-2009,MidriseApartment,Apartment,78_167_222,ASHRAE 189.1-2009,Dormitory,Living Quarters,ASHRAE 189.1-2009DormitoryLiving Quarters,0.99,,,,0,0.7,0.2,MidriseApartment Apartment Light,ASHRAE 62.1-1999,"Hotels, Motels, Resorts, Dormitories",Dormitory sleeping areas,"ASHRAE 62.1-1999Hotels, Motels, Resorts, DormitoriesDormitory sleeping areas",0,15,,,2.63,MidriseApartment Apartment Occ,MidriseApartment Activity,0.0446,,,MidriseApartment Infil,,,,,,0.6196632768,0,0.5,0,MidriseApartment Apartment Equip,MidriseApartment Apartment HtgSetp,MidriseApartment Apartment ClgSetp,3.5,950,0.003684210526,43.3,0.2,0.05,MidriseApartment DHW,,,,,,,,,,Yes,,
189.1-2009,MidriseApartment,Corridor,169_31_31,ASHRAE 189.1-2009,Corridor/Transition,General,ASHRAE 189.1-2009Corridor/TransitionGeneral,0.45,,,,0,0.7,0.2,MidriseApartment Corridor Light,ASHRAE 62.1-1999,Public Spaces,Corridors and utilities,ASHRAE 62.1-1999Public SpacesCorridors and utilities,0.05,0,,,0,,,0.0446,,,MidriseApartment Infil,,,,,,0,0,0.5,0,,MidriseApartment Corridor HtgSetp,MidriseApartment Corridor ClgSetp,,,,,,,,,,,,,,,,,,,
189.1-2009,MidriseApartment,Office,120_230_199,ASHRAE 189.1-2009,Office-Enclosed,General,ASHRAE 189.1-2009Office-EnclosedGeneral,0.99,,,,0,0.7,0.2,MidriseApartment Office Light,ASHRAE 62.1-1999,Offices,Office Space,ASHRAE 62.1-1999OfficesOffice Space,0,20,,,2.11,MidriseApartment Office Occ,MidriseApartment Activity,0.0446,,,MidriseApartment Infil,,,,,,0.87,0,0.5,0,MidriseApartment Office Equip,MidriseApartment Office HtgSetp,MidriseApartment Office ClgSetp,,,,,,,,,,,,,,,,,,,
189.1-2009,Office,WholeBuilding - Sm Office,120_230_199,ASHRAE 189.1-2009,Whole Building,Office,ASHRAE 189.1-2009Whole BuildingOffice,0.9,,,,0,0.7,0.2,Office Bldg Light,ASHRAE 62.1-1999,Offices,Office Space,ASHRAE 62.1-1999OfficesOffice Space,0,20,,,5,Small Office Bldg Occ,Small Office Activity,0.0446,,,Small Office Infil Quarter On,,,,,,0.54,0,0.5,0,Small Office Bldg Equip,Small Office HtgSetp,Small Office ClgSetp,3,5502,0.0005452562704,43.3,0.2,0.05,Office SWH,,,,,,,,,,,,
189.1-2009,Office,WholeBuilding - Md Office,120_230_199,ASHRAE 189.1-2009,Whole Building,Office,ASHRAE 189.1-2009Whole BuildingOffice,0.9,,,,0.4,0.4,0.2,Office Bldg Light,ASHRAE 62.1-1999,Offices,Office Space,ASHRAE 62.1-1999OfficesOffice Space,0,20,,,5,Medium Office Bldg Occ,Medium Office Activity,0.0446,,,Medium Office Infil Quarter On,,,,,,0.54,0,0.5,0,Medium Office Bldg Equip,Medium Office HtgSetp,Medium Office ClgSetp,27.7,53628,0.0005165212203,43.3,0.2,0.05,Medium Office Bldg Swh,,,,,,,,,,,,
189.1-2009,Office,WholeBuilding - Lg Office,120_230_199,ASHRAE 189.1-2009,Whole Building,Office,ASHRAE 189.1-2009Whole BuildingOffice,0.9,,,,0,0.7,0.2,Large Office Bldg Light,ASHRAE 62.1-1999,Offices,Office Space,ASHRAE 62.1-1999OfficesOffice Space,0,20,,,5,Large Office Bldg Occ,Large Office Activity,0.0446,,,Large Office Infil Quarter On,,,,,,0.5400002325,0,0.5,0,Large Office Bldg Equip,Large Office HtgSetp,Large Office ClgSetp,63.9,498588,0.0001281619293,43.3,0.2,0.05,Office SWH,,,,,,,,,,,,
189.1-2009,Office,Vending,230_157_120,ASHRAE 189.1-2009,Corridor/Transition,General,ASHRAE 189.1-2009Corridor/TransitionGeneral,0.45,,,,0.4,0.4,0.2,Office Bldg Light,ASHRAE 62.1-1999,Public Spaces,Corridors and utilities,ASHRAE 62.1-1999Public SpacesCorridors and utilities,0.05,0,,,1,Office Misc Occ,Office Activity,0.0446,,,Office Infil Quarter On,,,,,,3.85,0,0.5,0,Office Bldg Equip,Medium Office HtgSetp,Medium Office ClgSetp,,,,,,,,,,,,,,,,,,,
